,class,count,sum,aspect,elevation_below,year,percent_snow_cover,km2_snow,km2_all
102,90_3300,543,194,90,3300,2017,0.3572744014732965,1.9400000000000004,5.4300000000000015
103,0_3000,1980,448,0,3000,2017,0.2262626262626262,4.48,19.800000000000004
104,315_3600,16,4,315,3600,2017,0.25,0.04,0.16
105,270_3000,1616,165,270,3000,2017,0.1021039603960396,1.6500000000000004,16.160000000000004
106,45_4000,0,0,45,4000,2017,,0.0,0.0
107,225_4500,0,0,225,4500,2017,,0.0,0.0
108,225_2200,4853,0,225,2200,2017,0.0,0.0,48.53000000000001
109,45_2900,2271,208,45,2900,2017,0.0915896081021576,2.0800000000000005,22.710000000000004
110,180_3000,1313,74,180,3000,2017,0.0563594821020563,0.7400000000000001,13.130000000000004
111,0_2500,4419,10,0,2500,2017,0.0022629554197782,0.1,44.19000000000001
112,180_1500,59986,0,180,1500,2017,0.0,0.0,599.8600000000001
113,180_3800,0,0,180,3800,2017,,0.0,0.0
114,0_4000,0,0,0,4000,2017,,0.0,0.0
115,90_2600,3965,11,90,2600,2017,0.0027742749054224,0.11,39.650000000000006
116,135_2200,5791,0,135,2200,2017,0.0,0.0,57.91000000000001
117,135_4500,0,0,135,4500,2017,,0.0,0.0
118,270_2900,2202,71,270,2900,2017,0.0322434150772025,0.7100000000000002,22.020000000000003
119,225_3600,9,1,225,3600,2017,0.1111111111111111,0.01,0.09
120,45_3200,931,361,45,3200,2017,0.3877551020408163,3.6100000000000008,9.310000000000002
121,315_2700,3813,35,315,2700,2017,0.009179124049305,0.3500000000000001,38.13000000000001
122,270_2100,6600,2,270,2100,2017,0.0003030303030303,0.02,66.00000000000001
123,315_1600,8359,0,315,1600,2017,0.0,0.0,83.59000000000002
124,45_1700,6635,0,45,1700,2017,0.0,0.0,66.35000000000001
125,0_3700,6,4,0,3700,2017,0.6666666666666666,0.04,0.06
126,180_2700,2778,5,180,2700,2017,0.001799856011519,0.05,27.780000000000005
127,135_1900,6908,2,135,1900,2017,0.0002895193977996,0.02,69.08000000000001
128,270_1800,7185,0,270,1800,2017,0.0,0.0,71.85000000000001
129,225_4000,0,0,225,4000,2017,,0.0,0.0
130,90_1500,49138,0,90,1500,2017,0.0,0.0,491.3800000000001
131,90_3800,1,1,90,3800,2017,1.0,0.01,0.01
132,315_3100,1502,375,315,3100,2017,0.2496671105193076,3.750000000000001,15.020000000000003
133,135_3400,178,39,135,3400,2017,0.2191011235955056,0.39,1.7800000000000002
134,225_2500,4185,3,225,2500,2017,0.0007168458781362,0.03,41.85000000000001
135,270_3300,477,141,270,3300,2017,0.2955974842767295,1.4100000000000004,4.770000000000001
136,45_2000,6015,4,45,2000,2017,0.0006650041562759,0.04,60.15000000000001
137,90_3000,1535,149,90,3000,2017,0.0970684039087947,1.4900000000000002,15.350000000000003
138,315_3900,0,0,315,3900,2017,,0.0,0.0
139,45_2800,2875,113,45,2800,2017,0.0393043478260869,1.13,28.750000000000007
140,135_2900,1850,37,135,2900,2017,0.02,0.37,18.500000000000004
141,0_2400,4887,6,0,2400,2017,0.0012277470841006,0.06,48.87000000000001
142,180_3700,3,1,180,3700,2017,0.3333333333333333,0.01,0.03
143,135_2100,5999,1,135,2100,2017,0.0001666944490748,0.01,59.99000000000001
144,90_2700,3181,14,90,2700,2017,0.004401131719585,0.14,31.81000000000001
145,270_2800,2817,24,270,2800,2017,0.0085197018104366,0.24,28.170000000000005
146,225_3500,59,17,225,3500,2017,0.288135593220339,0.17,0.5900000000000001
147,45_3100,1432,370,45,3100,2017,0.2583798882681564,3.7000000000000006,14.320000000000002
148,315_2600,4238,12,315,2600,2017,0.0028315243039169,0.12,42.38000000000001
149,270_2000,6859,6,270,2000,2017,0.0008747630849978,0.06,68.59000000000002
150,315_1500,64359,0,315,1500,2017,0.0,0.0,643.5900000000001
151,45_3900,0,0,45,3900,2017,,0.0,0.0
152,45_1600,6683,0,45,1600,2017,0.0,0.0,66.83000000000001
153,135_1800,7094,0,135,1800,2017,0.0,0.0,70.94000000000001
154,0_3600,13,8,0,3600,2017,0.6153846153846154,0.08,0.13
155,180_2600,3292,5,180,2600,2017,0.0015188335358444,0.05,32.92000000000001
156,90_1600,6756,0,90,1600,2017,0.0,0.0,67.56000000000002
157,90_3900,0,0,90,3900,2017,,0.0,0.0
158,270_1700,7112,0,270,1700,2017,0.0,0.0,71.12000000000002
159,315_3000,1956,282,315,3000,2017,0.1441717791411043,2.8200000000000007,19.56
160,135_3300,415,117,135,3300,2017,0.2819277108433735,1.1700000000000002,4.150000000000001
161,90_3100,1274,264,90,3100,2017,0.2072213500784929,2.640000000000001,12.740000000000002
162,225_2400,4290,1,225,2400,2017,0.0002331002331002,0.01,42.900000000000006
163,315_3800,0,0,315,3800,2017,,0.0,0.0
164,270_3200,827,176,270,3200,2017,0.2128174123337363,1.7600000000000002,8.270000000000001
165,180_3200,694,118,180,3200,2017,0.170028818443804,1.1800000000000002,6.940000000000001
166,0_2300,5476,9,0,2300,2017,0.0016435354273192,0.09,54.76000000000001
167,180_1700,6925,0,180,1700,2017,0.0,0.0,69.25000000000001
168,225_3000,1344,71,225,3000,2017,0.0528273809523809,0.7100000000000002,13.440000000000005
169,90_2400,5069,2,90,2400,2017,0.0003945551390806,0.02,50.69000000000001
170,135_2400,4815,4,135,2400,2017,0.0008307372793354,0.04,48.15000000000001
171,315_2100,6963,4,315,2100,2017,0.0005744650294413,0.04,69.63000000000001
172,45_3400,235,116,45,3400,2017,0.4936170212765957,1.16,2.3500000000000005
173,270_2300,6233,0,270,2300,2017,0.0,0.0,62.33000000000001
174,225_1500,46006,0,225,1500,2017,0.0,0.0,460.0600000000001
175,225_3800,0,0,225,3800,2017,,0.0,0.0
176,315_2900,2481,123,315,2900,2017,0.0495767835550181,1.2300000000000002,24.81000000000001
177,315_1800,7739,0,315,1800,2017,0.0,0.0,77.39000000000001
178,45_1900,6281,0,45,1900,2017,0.0,0.0,62.81000000000001
179,180_2100,5619,0,180,2100,2017,0.0,0.0,56.19000000000001
180,0_3500,70,30,0,3500,2017,0.4285714285714285,0.3,0.7000000000000002
181,180_2900,1697,38,180,2900,2017,0.0223924572775486,0.38,16.970000000000002
182,90_3600,16,8,90,3600,2017,0.5,0.08,0.16
183,135_3600,7,2,135,3600,2017,0.2857142857142857,0.02,0.07
184,45_4500,0,0,45,4500,2017,,0.0,0.0
185,315_3300,603,219,315,3300,2017,0.36318407960199,2.1900000000000004,6.030000000000001
186,45_2200,5592,2,45,2200,2017,0.0003576537911301,0.02,55.92000000000001
187,225_2700,3236,20,225,2700,2017,0.0061804697156983,0.2,32.36000000000001
188,270_3500,50,13,270,3500,2017,0.26,0.13,0.5000000000000001
