,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
124,45_1700,4676,0,45,1700,2018,Kärnten,0.0,0.0,46.76000000000001
125,0_3700,1,0,0,3700,2018,Kärnten,0.0,0.0,0.010000000000000002
126,180_2700,1018,1,180,2700,2018,Kärnten,0.0009823182711198428,0.010000000000000002,10.180000000000001
127,135_1900,3841,0,135,1900,2018,Kärnten,0.0,0.0,38.41000000000001
128,270_1800,3363,0,270,1800,2018,Kärnten,0.0,0.0,33.63000000000001
129,225_4000,0,0,225,4000,2018,Kärnten,,0.0,0.0
130,90_1500,78157,0,90,1500,2018,Kärnten,0.0,0.0,781.5700000000002
131,90_3800,0,0,90,3800,2018,Kärnten,,0.0,0.0
132,315_3100,62,6,315,3100,2018,Kärnten,0.0967741935483871,0.06000000000000001,0.6200000000000001
133,135_3400,16,12,135,3400,2018,Kärnten,0.75,0.12000000000000002,0.16000000000000003
134,225_2500,1515,0,225,2500,2018,Kärnten,0.0,0.0,15.150000000000002
135,270_3300,16,2,270,3300,2018,Kärnten,0.125,0.020000000000000004,0.16000000000000003
136,45_2000,2601,0,45,2000,2018,Kärnten,0.0,0.0,26.010000000000005
137,90_3000,264,91,90,3000,2018,Kärnten,0.3446969696969697,0.9100000000000001,2.6400000000000006
138,315_3900,0,0,315,3900,2018,Kärnten,,0.0,0.0
139,45_2800,505,15,45,2800,2018,Kärnten,0.0297029702970297,0.15000000000000002,5.050000000000001
140,135_2900,373,55,135,2900,2018,Kärnten,0.14745308310991956,0.5500000000000002,3.730000000000001
141,0_2400,1333,0,0,2400,2018,Kärnten,0.0,0.0,13.330000000000002
142,180_3700,1,0,180,3700,2018,Kärnten,0.0,0.0,0.010000000000000002
143,135_2100,2946,0,135,2100,2018,Kärnten,0.0,0.0,29.460000000000004
144,90_2700,730,5,90,2700,2018,Kärnten,0.00684931506849315,0.05000000000000001,7.300000000000002
145,270_2800,421,6,270,2800,2018,Kärnten,0.014251781472684086,0.06000000000000001,4.210000000000001
